Airline,Source,Destination,Additional_Info,Price,Date,Month,Year,Stop,Arrival_Hour,Arrival_Minute,Departure_Hour,Departure_Minute,Route_1,Route_2,Route_3,Route_4,Route_5,Price Predicted
4,2,1,8,9087.064120565385,6,6,2019,1,4,25,17,30,3,7,6,12,4,14714.0
3,3,0,8,9087.064120565385,12,5,2019,1,10,20,6,20,2,33,3,12,4,4224.5710238095235
4,2,1,5,9087.064120565385,21,5,2019,1,19,0,19,15,3,7,6,12,4,12880.533916666665
6,2,1,8,9087.064120565385,21,5,2019,1,21,0,8,0,3,7,6,12,4,11895.317961346036
0,0,2,8,9087.064120565385,24,6,2019,0,2,45,23,55,0,13,24,12,4,3665.407714826841
4,2,1,5,9087.064120565385,12,6,2019,1,12,35,18,15,3,7,6,12,4,10269.533298319328
1,0,5,8,9087.064120565385,12,3,2019,1,22,35,7,30,0,41,8,12,4,9614.709759920632
3,3,0,8,9087.064120565385,1,5,2019,1,20,30,15,15,2,20,3,12,4,5180.157996031746
3,3,0,8,9087.064120565385,15,3,2019,0,12,55,10,10,2,5,24,12,4,4618.563755411257
4,3,0,8,9087.064120565385,18,5,2019,1,22,35,16,30,2,7,3,12,4,14750.20429426756
4,2,1,5,9087.064120565385,21,3,2019,2,18,50,13,55,3,33,4,5,4,8822.27707864358
3,2,1,8,9087.064120565385,15,6,2019,1,16,10,6,50,3,20,6,12,4,6468.505247947456
6,2,1,8,9087.064120565385,15,5,2019,1,19,15,9,0,3,7,6,12,4,14526.575820367132
4,0,5,8,9087.064120565385,12,3,2019,1,10,25,5,45,0,7,8,12,4,13383.33910714286
4,2,1,5,9087.064120565385,3,6,2019,1,12,35,19,15,3,7,6,12,4,10288.619721479503
4,0,5,8,9087.064120565385,6,3,2019,1,8,15,21,25,0,7,8,12,4,17155.95460660173
6,2,1,8,9087.064120565385,6,6,2019,1,22,30,13,15,3,20,6,12,4,8411.106383395043
10,3,0,8,9087.064120565385,24,3,2019,1,22,10,9,55,2,14,3,12,4,11376.072041666666
4,2,1,5,9087.064120565385,12,6,2019,1,4,25,19,15,3,7,6,12,4,10334.34188085827
4,0,5,8,9087.064120565385,12,3,2019,1,8,15,22,55,0,7,8,12,4,14073.285515873018
3,2,1,8,9087.064120565385,6,3,2019,1,1,35,10,45,3,7,6,12,4,13017.315693362194
